name,fans,fave,tags,vote
1009522-Warmed+by+the+Sun-cloche-forever-21-hat-lace-h-m-dress,43,51 favorites,"['Chic', 'Everyday', 'Summer']",368 votes
1046629-Le+Noir-black-rag-bone-dress,732,47 favorites,"['Elegant', 'Art Opening', 'summer']",222 votes
1129156-70s+Vibes-maroon-dress-tomtop-dress-silver-cuff-lush-jewelry-accessories,27479,71 favorites,"['70s', 'Other', 'Summer']",334 votes
1055234-WEDNESDAY+DRESS+LEG+GARTER-wednesday-ebay-dress-backpack-chicnova-bag-leg-garter-ebay-accessories,1668,56 favorites,"['90s', 'School', 'fall']",350 votes
1054265-Boots+Lace-black-lace-zara-dress-black-ankle-boots-acne-boots,177,74 favorites,"['Boot Style', 'Everyday', 'fall']",309 votes
954948-Shes+got+a+lot+of+attention+in+her+eyes-shoplately-boots-lashes-of-london-dress-shoplatey-necklace,736,57 favorites,"['Vintage', 'Dinner Date', 'fall']",237 votes
988380-LOVE+On+Top-black-leather-nasty-gal-jacket-white-asymmetrical-2b-bebe-dress,685,51 favorites,"['Chic', ""Valentine's Day"", 'winter']",392 votes
1051665-My+paper+dress-ueg-dress,10784,51 favorites,"['Casual', 'Art Opening', 'summer']",231 votes
1015491-Here+Comes+the+Sun-oasap-dress-lace-up-heels-chelsea-crew-shoes-fedora-hat-charlotte-russe-hat,197,75 favorites,"['Vintage', 'Holiday Party', 'fall']",345 votes
949614-LOW+BACK+DRESS-black-asos-dress-gold-newlook-accessories-nude-new-look-heels,313,63 favorites,"['Elegant', 'Dinner Party', 'fall']",302 votes
1152955-FLORAL+MONDAY-bag-bag-on-sale-dress-dress-heels-heels-ring-ring-earrings-earrings,477,58 favorites,"['Chic', 'Dinner Date', 'winter']",316 votes
1056768-UNIQUE+AND+AMAZING-handmade-dress,324,23 favorites,"['Chic', 'Fashion Show', 'summer']",175 votes
1147447-Boho+holiday+glam-salmon-minkpink-dress,640,57 favorites,"['Bohemian', 'Going Out With Friends', 'Summer']",355 votes
1126154-Summer-yellow-turban-scarf-white-chicwish-dress,15788,37 favorites,"['Romantic', 'Beach', 'Summer', 'yellow']",300 votes
1161820-Yellow+Dress+Hydrangeas-light-pink-wet-seal-bag-light-yellow-lace-asos-dress,1340,46 favorites,"['Classic', 'Everyday', 'Summer']",294 votes
1103362-Checked+dress-black-chicwish-boots-ruby-red-sheinside-dress-black-dressve-bag,880,70 favorites,"['Chic', 'Everyday', 'spring']",367 votes
985411-Un+jour+d%E2%80%99%C3%A9t%C3%A9-aquamarine-dafiti-dress,18061,65 favorites,"['Comfortable', 'Beach', 'summer']",374 votes
1125764-Guns+and+Roses-red-hm-purse-black-1950-s-dress-red-charlotte-russe-heels-gold-1950s-ring,463,52 favorites,"['50s', 'Everyday', 'Summer']",302 votes
993886-Tartan+Travel-dark-green-second-hand-dress-black-h-m-hat-red-vintage-bag,47,65 favorites,"['Outdoor', 'Traveling', 'spring']",221 votes
1049847-The+Floral+Shift+Dress-gold-leaf-statement-kristin-perry-accessories-necklace,1127,33 favorites,"['Romantic', 'Picnic', 'summer']",149 votes
1029298-ROMANCE+UNDER+THE+CLOUDS-charcoal-gray-zara-sweater-neutral-h-m-dress,25,72 favorites,"['Romantic', 'Dinner Date', 'Summer']",356 votes
1115813-Beverly+Terrace-black-prima-donna-shoes-black-bb-dakota-dress-black-hm-hat,19484,80 favorites,"['Bohemian', 'Lunch Date', 'spring']",418 votes
1020389-Delicate+Morning-dress-bag,2260,82 favorites,"['Bohemian', 'Everyday', 'spring']",401 votes
951818-Silk+Dress+Thats+Also+Wearable+Art-silk-clover-canyon-dress-silver-aviator-ray-ban-sunglasses-sam-edelman-heels,341,94 favorites,"['Chic', 'Dinner Date', 'spring']",414 votes
1016745-Navy+Floral-choies-dress,11136,60 favorites,"['Chic', 'Beach', 'Summer']",376 votes
1144851-Trend+Alert+Over+Knee+Boots+Public+Desire+x+Knit+Dress+x+Jumpfrompaper+x+Statem-gold-margaret-elizabeth-bracelet-navy-public-desire-boots,16077,44 favorites,"['Classic', 'Dinner Party', 'Summer']",358 votes
1090027-Are+We+Out+Of+The+Woods+Yet-seychelles-boots-sheinside-dress-betsey-johnson-bag,4177,58 favorites,"['Bohemian', 'Everyday', 'fall']",376 votes
1131767-August+Back+to+School-black-daniel-wellington-bracelet-puce-forever-21-dress,16077,44 favorites,"['Business Casual', 'Photo Shoot', 'Summer']",347 votes
1060233-+-bracelet-dress-sunglasses-white-heels,219,46 favorites,"['Classic', 'Everyday', 'summer']",284 votes
1052234-7am-black-zara-dress,1994,81 favorites,"['Punk', 'Girls Night Out', 'summer']",366 votes
942133-Maybe+We+Can+Get+Away-ivory-leather-oxfords-vintage-flats-aquamarine-eshakti-dress,1376,76 favorites,"['Vintage', 'Going Out With Friends', 'summer', 'comfortable party shoes']",403 votes
996649-Hello+Spring-sky-blue-topshop-dress,1292,66 favorites,"['Romantic', 'Everyday', 'spring', 'spring']",371 votes
1055533-Wedding+Guest-black-black-lulus-dress,5309,53 favorites,"['Chic', 'Wedding', 'summer', 'dress']",345 votes
947818-The+horizon+has+been+defeated-black-ankle-h-m-boots-black-lbd-stradivarius-dress,583,70 favorites,"['Chic', 'Dinner Date', 'winter']",377 votes
940139-Contrasts-black-zara-boots-black-zara-dress-white-clic-jewels-bag,44,60 favorites,"['Casual', 'Going Out With Friends', 'fall']",339 votes
1126979-Asymmetrical+tee-shein-dress,6395,39 favorites,"['Bohemian', 'Everyday', 'summer']",242 votes
1114841-Spring+Stripes-navy-t-shirt-dress-forever-21-dress,296,40 favorites,"['Casual', 'Everyday', 'spring']",306 votes
1048122-Missguided+x+Dollpoupee+%E2%80%93+PART+1-ivory-missguided-dress-ivory-missguided-hat,1640,83 favorites,"['Romantic', 'Everyday', 'summer']",355 votes
1097152-Peng+Chau+Pier-brown-kedma-naot-shoes-eggshell-liz-lisa-dress-periwinkle-idc-cardigan,7135,63 favorites,"['Vintage', 'Traveling', 'winter']",407 votes
1076764-Derby+Day-navy-lace-lover-dress-black-quilted-chanel-bag-white-tony-bianco-heels,2838,50 favorites,"['Elegant', 'Cocktail', 'spring']",324 votes
1086009-Graphic+Midi+Dress-midi-h-m-dress-theory-heels,5679,58 favorites,"['Chic', 'Holiday Party', 'Summer']",360 votes
1157327-Winter+Formal-silver-formal-bcbgeneration-dress,895,64 favorites,"['Formal', 'Prom', 'winter']",311 votes
1006601-Red+dress-sheinside-dress,1219,66 favorites,"['Chic', 'Everyday', 'spring']",318 votes
958775-Wrapped+in+my+cocoon+GIVEAWAY+on+the+blog-black-cocoon-nowistyle-coat-magenta-ankle-h-m-boots-charcoal-gray-c-a-dress,583,45 favorites,"['Casual', 'Lunch Date', 'winter']",222 votes
982195-Boohoo+ownit-boohoo-dress,5679,87 favorites,"['Chic', 'Everyday', 'spring']",389 votes
967373-Acid+Wash+Denim-pacsun-dress-pacsun-glasses-charlotte-russe-wedges,14,62 favorites,"['Denim', 'Going Out With Friends', 'summer']",385 votes
983095-A+Black+and+Gray+Mix-gray-tart-collections-dress,196,56 favorites,"['Classic', 'Brunch', 'fall']",313 votes
974927-Merlot+By+The+Fire-crimson-maxi-tobi-dress-beige-faux-fur-h-m-scarf-black-h-m-bag,111,39 favorites,"['Elegant', 'Wine Tasting', 'winter']",230 votes
1123905-Shift+Dresses-nordstrom-dress,132,53 favorites,"['Classic', 'Everyday', 'Summer']",328 votes
941482-Pink+Lace-black-leather-jeffrey-campbell-boots-light-pink-lace-charlotte-russe-dress,490,57 favorites,"['Chic', 'Going Out With Friends', 'fall']",383 votes
1107362-Summer+boots-black-jessica-buurman-boots-periwinkle-zara-dress,15788,71 favorites,"['Urban', 'Girls Night Out', 'spring']",368 votes
965107-Snug-black-vintage-dress-white-topshop-coat-black-bowler-top-hat-h-m-hat,104,53 favorites,"['Casual', 'Casual Party', 'winter']",343 votes
947513-Little+Black+Zipper+Dress-classic-maje-dress-leopard-print-charlotte-russe-heels,40,50 favorites,"['Classic', 'BBQ Party', 'fall']",259 votes
1034208-FLORAL+OVERALL-bronze-amiclubwear-boots-blue-amiclubwear-dress,890,45 favorites,"['Casual', 'Everyday', 'summer']",276 votes
1033390-Little+Touch+of+Leopard-black-letote-dress-gold-forever-21-skirt-tawny-leopard-print-target-loafers,421,45 favorites,"['Classic', 'Shopping', 'spring']",348 votes
988832-Rocker+Glam-polka-dot-forever-21-dress-faux-leather-ebay-jacket,114,62 favorites,"['Elegant', 'Romantic Dinner', 'winter']",357 votes
1033956-day+to+night-black-maxi-old-navy-dress,5309,67 favorites,"['Chic', 'Everyday', 'summer']",397 votes
1074157-Force+Feed+Me+Pumpkin-heather-gray-chunky-wallis-cardigan-navy-sweater-bodycon-ruche-dress,161,43 favorites,"['Bohemian', 'Everyday', 'fall']",321 votes
1047690-A+Touch+of+Red+with+Avalina+Leather-red-avalina-leather-bag-tan-vintage-dress-black-asos-coat,172,57 favorites,"['60s', 'Everyday', 'winter']",300 votes
1028691-Black-black-lipstik-shoes-black-dress-sheer-mart-of-china-dress,96,78 favorites,"['Goth', 'Everyday', 'fall', 'mmmmmmmmmmmmmmmm']",422 votes
